source_file,data_type,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,resin_index_level,sourcing_country,value_source_column,value_source_header_cell,value,raw_value_text,formula,forecast_horizon_month,forecast_growth_factor,forecast_uncapped_value,forecast_guardrail_cap_pct,forecast_formula
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,19,C19,B19,Jan-2025,2025-01-01,January 2025,2025,1,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,2100.011,2100.011,2100.011,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,20,C20,B20,Feb-2025,2025-02-01,February 2025,2025,2,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1699.872,1699.872,1699.872,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,21,C21,B21,Mar-2025,2025-03-01,March 2025,2025,3,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1599.783,1599.783,1599.783,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,22,C22,B22,Apr-2025,2025-04-01,April 2025,2025,4,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1374.801,1374.801,1374.801,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,23,C23,B23,May-2025,2025-05-01,May 2025,2025,5,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1374.801,1374.801,1374.801,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,24,C24,B24,Jun-2025,2025-06-01,June 2025,2025,6,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1424.846,1424.846,1424.846,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,25,C25,B25,Jul-2025,2025-07-01,July 2025,2025,7,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1524.759,1524.759,1524.759,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,26,C26,B26,Aug-2025,2025-08-01,August 2025,2025,8,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1549.738,1549.738,1549.738,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,27,C27,B27,Sep-2025,2025-09-01,September 2025,2025,9,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1549.738,1549.738,1549.738,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,28,C28,B28,Oct-2025,2025-10-01,October 2025,2025,10,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1499.693,1499.693,1499.693,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,29,C29,B29,Nov-2025,2025-11-01,November 2025,2025,11,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1412.5,1412.500,1412.5,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,30,C30,B30,Dec-2025,2025-12-01,December 2025,2025,12,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1315.056,1315.056,1315.056,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,31,C31,B31,Jan-2026,2026-01-01,January 2026,2026,1,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1292.486,1292.486,1292.486,,,,,
Index Fprecast\Market Research Index\ICIS Dashboard Price History 2026-05-13 202724.xls,Actual,ICIS Price History,B18:L34,32,C32,B32,Feb-2026,2026-02-01,February 2026,2026,2,PET Bottle Grade DEL Argentina Assessment Domestic Full Market Range Weekly (Mid) : USD/tonne,ICIS Argentina DEL Domestic Mid,Mid,Argentina,C,C18,1284.963,1284.963,1284.963,,,,,
