source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,resin_index_level,value_source_column,value_source_header_cell,value,raw_value_text,formula
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,14,C14,B14,Jan-2025,2025-01-01,January 2025,2025,1,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,866.0,866.0,866
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,14,D14,B14,Jan-2025,2025-01-01,January 2025,2025,1,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,799.5,799.5,799.5
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,15,C15,B15,Feb-2025,2025-02-01,February 2025,2025,2,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,882.5,882.5,882.5
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,15,D15,B15,Feb-2025,2025-02-01,February 2025,2025,2,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,803.1,803.1,803.1
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,16,C16,B16,Mar-2025,2025-03-01,March 2025,2025,3,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,886.3,886.3,886.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,16,D16,B16,Mar-2025,2025-03-01,March 2025,2025,3,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,786.3,786.3,786.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,17,C17,B17,Apr-2025,2025-04-01,April 2025,2025,4,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,857.5,857.5,857.5
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,17,D17,B17,Apr-2025,2025-04-01,April 2025,2025,4,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,745.6,745.6,745.6
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,18,C18,B18,May-2025,2025-05-01,May 2025,2025,5,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,872.0,872.0,872
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,18,D18,B18,May-2025,2025-05-01,May 2025,2025,5,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,775.0,775.0,775
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,19,C19,B19,Jun-2025,2025-06-01,June 2025,2025,6,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,876.3,876.3,876.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,19,D19,B19,Jun-2025,2025-06-01,June 2025,2025,6,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,793.1,793.1,793.1
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,20,C20,B20,Jul-2025,2025-07-01,July 2025,2025,7,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,861.3,861.3,861.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,20,D20,B20,Jul-2025,2025-07-01,July 2025,2025,7,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,781.9,781.9,781.9
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,21,C21,B21,Aug-2025,2025-08-01,August 2025,2025,8,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,846.0,846.0,846
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,21,D21,B21,Aug-2025,2025-08-01,August 2025,2025,8,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,774.0,774.0,774
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,22,C22,B22,Sep-2025,2025-09-01,September 2025,2025,9,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,831.3,831.3,831.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,22,D22,B22,Sep-2025,2025-09-01,September 2025,2025,9,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,765.0,765.0,765
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,23,C23,B23,Oct-2025,2025-10-01,October 2025,2025,10,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,821.0,821.0,821
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,23,D23,B23,Oct-2025,2025-10-01,October 2025,2025,10,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,752.0,752.0,752
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,24,C24,B24,Nov-2025,2025-11-01,November 2025,2025,11,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,808.8,808.8,808.8
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,24,D24,B24,Nov-2025,2025-11-01,November 2025,2025,11,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,748.8,748.8,748.8
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,25,C25,B25,Dec-2025,2025-12-01,December 2025,2025,12,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,805.0,805.0,805
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,25,D25,B25,Dec-2025,2025-12-01,December 2025,2025,12,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,756.3,756.3,756.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,26,C26,B26,Jan-2026,2026-01-01,January 2026,2026,1,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,830.0,830.0,830
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,26,D26,B26,Jan-2026,2026-01-01,January 2026,2026,1,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,818.1,818.1,818.1
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,27,C27,B27,Feb-2026,2026-02-01,February 2026,2026,2,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,852.5,852.5,852.5
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,27,D27,B27,Feb-2026,2026-02-01,February 2026,2026,2,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,838.3,838.3,838.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,28,C28,B28,Mar-2026,2026-03-01,March 2026,2026,3,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1115.0,1115.0,1115
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,28,D28,B28,Mar-2026,2026-03-01,March 2026,2026,3,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,1111.3,1111.3,1111.3
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,29,C29,B29,Apr-2026,2026-04-01,April 2026,2026,4,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1287.5,1287.5,1287.5
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,29,D29,B29,Apr-2026,2026-04-01,April 2026,2026,4,PET Bottle Grade FOB China Assessment Spot 4-12 Weeks Full Market Range Weekly (Mid) : USD/tonne,ICIS China Mid,Mid,D,D13,1191.9,1191.9,1191.9
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,30,C30,B30,01-May-2026,2026-05-01,May 2026,2026,5,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1344.9873631002527,1345,=(C29*E30)+'ICIS Price History'!C29
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,31,C31,B31,01-Jun-2026,2026-06-01,June 2026,2026,6,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1438.2882882882882,1438,=(C30*E31)+'ICIS Price History'!C30
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,32,C32,B32,01-Jul-2026,2026-07-01,July 2026,2026,7,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1527.7511961722487,1528,=(C31*E32)+'ICIS Price History'!C31
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,33,C33,B33,01-Aug-2026,2026-08-01,August 2026,2026,8,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1644.181256436663,1644,=(C32*E33)+'ICIS Price History'!C32
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,34,C34,B34,01-Sep-2026,2026-09-01,September 2026,2026,9,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1733.4419109663406,1733,=(C33*E34)+'ICIS Price History'!C33
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,35,C35,B35,01-Oct-2026,2026-10-01,October 2026,2026,10,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1773.8888888888887,1774,=(C34*E35)+'ICIS Price History'!C34
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,36,C36,B36,01-Nov-2026,2026-11-01,November 2026,2026,11,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1824.5714285714284,1825,=(C35*E36)+'ICIS Price History'!C35
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,37,C37,B37,01-Dec-2026,2026-12-01,December 2026,2026,12,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1896.0807600950118,1896,=(C36*E37)+'ICIS Price History'!C36
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,38,C38,B38,01-Jan-2027,2027-01-01,January 2027,2027,1,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1891.5876777251183,1892,=(C37*E38)+'ICIS Price History'!C37
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,39,C39,B39,01-Feb-2027,2027-02-01,February 2027,2027,2,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1887.1158392434986,1887,=(C38*E39)+'ICIS Price History'!C38
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,40,C40,B40,01-Mar-2027,2027-03-01,March 2027,2027,3,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1882.6650943396223,1883,=(C39*E40)+'ICIS Price History'!C39
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,41,C41,B41,01-Apr-2027,2027-04-01,April 2027,2027,4,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1867.2514619883038,1867,=(C40*E41)+'ICIS Price History'!C40
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,42,C42,B42,01-May-2027,2027-05-01,May 2027,2027,5,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1880.4475853945817,1880,=(C41*E42)+'ICIS Price History'!C41
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,43,C43,B43,01-Jun-2027,2027-06-01,June 2027,2027,6,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1923.4939759036142,1923,=(C42*E43)+'ICIS Price History'!C42
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,44,C44,B44,01-Jul-2027,2027-07-01,July 2027,2027,7,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1909.6889952153108,1910,=(C43*E44)+'ICIS Price History'!C43
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,45,C45,B45,01-Aug-2027,2027-08-01,August 2027,2027,8,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1889.3491124260354,1889,=(C44*E45)+'ICIS Price History'!C44
Index Fprecast\ICIS Dashboard Price Forecast 2026-05-04 152801_v1.xls,ICIS Price History,B13:D46,46,C46,B46,01-Sep-2027,2027-09-01,September 2027,2027,9,PET Bottle Grade FOB Asia SE Assessment Spot 2-6 Weeks Full Market Range Weekly (Low) : USD/tonne,ICIS Asia SE Low,Low,C,C13,1884.887839433294,1885,=(C45*E46)+'ICIS Price History'!C45
