time_period,time_period_year,time_period_month,forecast_date,date_range,ICIS Asia SE Low,ICIS China Mid
January 2025,2025,1,2025-01-01,Jan-2025,866.0,799.5
February 2025,2025,2,2025-02-01,Feb-2025,882.5,803.1
March 2025,2025,3,2025-03-01,Mar-2025,886.3,786.3
April 2025,2025,4,2025-04-01,Apr-2025,857.5,745.6
May 2025,2025,5,2025-05-01,May-2025,872.0,775.0
June 2025,2025,6,2025-06-01,Jun-2025,876.3,793.1
July 2025,2025,7,2025-07-01,Jul-2025,861.3,781.9
August 2025,2025,8,2025-08-01,Aug-2025,846.0,774.0
September 2025,2025,9,2025-09-01,Sep-2025,831.3,765.0
October 2025,2025,10,2025-10-01,Oct-2025,821.0,752.0
November 2025,2025,11,2025-11-01,Nov-2025,808.8,748.8
December 2025,2025,12,2025-12-01,Dec-2025,805.0,756.3
January 2026,2026,1,2026-01-01,Jan-2026,830.0,818.1
February 2026,2026,2,2026-02-01,Feb-2026,852.5,838.3
March 2026,2026,3,2026-03-01,Mar-2026,1115.0,1111.3
April 2026,2026,4,2026-04-01,Apr-2026,1287.5,1191.9
May 2026,2026,5,2026-05-01,01-May-2026,1344.9873631002527,
June 2026,2026,6,2026-06-01,01-Jun-2026,1438.2882882882882,
July 2026,2026,7,2026-07-01,01-Jul-2026,1527.7511961722487,
August 2026,2026,8,2026-08-01,01-Aug-2026,1644.181256436663,
September 2026,2026,9,2026-09-01,01-Sep-2026,1733.4419109663406,
October 2026,2026,10,2026-10-01,01-Oct-2026,1773.8888888888887,
November 2026,2026,11,2026-11-01,01-Nov-2026,1824.5714285714284,
December 2026,2026,12,2026-12-01,01-Dec-2026,1896.0807600950118,
January 2027,2027,1,2027-01-01,01-Jan-2027,1891.5876777251183,
February 2027,2027,2,2027-02-01,01-Feb-2027,1887.1158392434986,
March 2027,2027,3,2027-03-01,01-Mar-2027,1882.6650943396223,
April 2027,2027,4,2027-04-01,01-Apr-2027,1867.2514619883038,
May 2027,2027,5,2027-05-01,01-May-2027,1880.4475853945817,
June 2027,2027,6,2027-06-01,01-Jun-2027,1923.4939759036142,
July 2027,2027,7,2027-07-01,01-Jul-2027,1909.6889952153108,
August 2027,2027,8,2027-08-01,01-Aug-2027,1889.3491124260354,
September 2027,2027,9,2027-09-01,01-Sep-2027,1884.887839433294,
