source_file,sheet_name,metric_row,metric_name,column_letter,period_raw,period_normalized,value_raw
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,C,,,
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,D,ICIS China MID (n-1). ,ICIS China MID (n-1). ,
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,E,May-18,May-18,1330
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,F,Jun-18,Jun-18,1280
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,G,Jul-18,Jul-18,1279.380005
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,H,Ago-18,Ago-18,1275.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,I,Sep-18,Sep-18,1330
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,J,Oct-18,Oct-18,1266.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,K,Nov-18,Nov-18,1125
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,L,Dic-18,Dic-18,1058.130005
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,M,Jan-19,Jan-19,1035
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,N,Feb-19,Feb-19,1077.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,O,Mar-19,Mar-19,1096.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,P,Abr-19,Abr-19,1101.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,Q,May-19,May-19,1004.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,R,Jun-19,Jun-19,926.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,S,Jul-19,Jul-19,966.88000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,T,Ago-19,Ago-19,889
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,U,Sep-19,Sep-19,868.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,V,Oct-19,Oct-19,840
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,W,Nov-19,Nov-19,818.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,X,Dic-19,Dic-19,824.38000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,Y,Jan-20,Jan-20,840
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,Z,Feb-20,Feb-20,840
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AA,Mar-20,Mar-20,736.88000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AB,Abr-20,Abr-20,655
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AC,Abr-20,Abr-20,707.17945636689831
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AD,May-20,May-20,669.38000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AE,May-20,May-20,687.43458311273355
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AF,Jun-20,Jun-20,678.13000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AG,Jun-20,Jun-20,682.5409009438722
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AH,Jul-20,Jul-20,659
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AI,Ago-20,Ago-20,647.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AJ,Sep-20,Sep-20,649.38000499999998
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AK,Oct-20,Oct-20,641.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AL,Nov-20,Nov-20,648.13
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AM,Dic-20,Dic-20,713
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AN,Jan-21,Jan-21,789.38
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AO,44228,2021-02-01,880.63
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AP,44256,2021-03-01,1018.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AQ,44287,2021-04-01,960
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AR,44317,2021-05-01,932.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AS,44348,2021-06-01,920
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AT,44378,2021-07-01,960
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AU,44409,2021-08-01,966.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AV,44440,2021-09-01,953
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AW,44440,2021-09-01,1111.8800000000001
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AX,44501,2021-11-01,1124.3800000000001
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AY,44531,2021-12-01,1026.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,AZ,44562,2022-01-01,1144
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BA,44593,2022-02-01,1138
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BB,44621,2022-03-01,1139
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BC,44652,2022-04-01,1199
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BD,44682,2022-05-01,1216.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BE,44713,2022-06-01,1235
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BF,44743,2022-07-01,1125
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BG,44774,2022-08-01,1096.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BH,44805,2022-09-01,1048
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BI,44835,2022-10-01,975.63
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BJ,44866,2022-11-01,897.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BK,44896,2022-12-01,890
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BL,44927,2023-01-01,941.88
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BM,44958,2023-02-01,965
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BN,44986,2023-03-01,980
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BO,45017,2023-04-01,1018.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BP,45047,2023-05-01,938.13
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BQ,45078,2023-06-01,882
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BR,45108,2023-07-01,878.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BS,45139,2023-08-01,889
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BT,45170,2023-09-01,898.75
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BU,45200,2023-10-01,880
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BV,45231,2023-11-01,865
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BW,45261,2023-12-01,863.13
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BX,44927,2023-01-01,889.38
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BY,44958,2023-02-01,906.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,BZ,44986,2023-03-01,906.5
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,CA,45017,2023-04-01,898.13
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,CB,45047,2023-05-01,885
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,CC,45078,2023-06-01,885.63
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,CD,45108,2023-07-01,896.25
1 Bavaria - Precio Marzo.xlsx,Fórmula Marzo 26,16,,CE,45139,2023-08-01,874
