source_file,source_sheet,source_range,source_row,source_cell,date_source_cell,date_range,forecast_date,time_period,time_period_year,time_period_month,forecast_series,resin_index_type,value_source_column,value_source_header_cell,value,raw_value_text,formula
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,14,D14,B14,18-Apr-2025,2025-04-18,April 2025,2025,4,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,730.0,730.00,730.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,15,D15,B15,25-Apr-2025,2025-04-25,April 2025,2025,4,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,735.0,735.00,735.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,16,D16,B16,02-May-2025,2025-05-02,May 2025,2025,5,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,752.5,752.50,752.50
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,17,D17,B17,09-May-2025,2025-05-09,May 2025,2025,5,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,755.0,755.00,755.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,18,D18,B18,16-May-2025,2025-05-16,May 2025,2025,5,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,792.5,792.50,792.50
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,19,D19,B19,23-May-2025,2025-05-23,May 2025,2025,5,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,790.0,790.00,790.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,20,D20,B20,30-May-2025,2025-05-30,May 2025,2025,5,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,785.0,785.00,785.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,21,D21,B21,06-Jun-2025,2025-06-06,June 2025,2025,6,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,780.0,780.00,780.00
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,22,D22,B22,13-Jun-2025,2025-06-13,June 2025,2025,6,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,782.5,782.50,782.50
Forecast\ICIS Dashboard Price Forecast 2026-04-17 221720.xls,ICIS Price Forecast,B13:D82,23,D23,B23,20-Jun-2025,2025-06-20,June 2025,2025,6,PET Bottle Grade FOB China Spot 4-12 Weeks Full Market Range,PET Bottle Grade FOB China Spot,D,D13,812.5,812.50,812.50
