source_range,source_row,B,C,D,E,F,G,H,I,J,K,L,M,N,O
B2:O12,2,AVISO!,,,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00
B2:O12,3,,,P-TAX,5.5470549999999985,5.528491304347825,5.44692380952381,5.367409090909091,5.385526086956521,5.340852631578948,5.453090909090908,5.3380238095238095,5.200616666666666,5.231586363636364,0
B2:O12,4,,,,,,,,,,,,,,
B2:O12,5,,SUAPE,,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,2026-05-01 00:00:00
B2:O12,6,ALPEK,Suape,ICIS China mid (M-1),793.125,781.875,774,765,752,748.75,756.25,818.125,838.13,1111.25,0
B2:O12,7,,,International freight,206.62222222222223,288.8,165.15555555555557,148.35555555555555,117.95555555555555,88.84444444444445,75.5111111111111,65.46666666666667,66.04444444444445,124.22222222222223,0
B2:O12,8,,,Local freight,,,,,,,,,,,
B2:O12,9,,,Duties,207.94742222222226,222.7004,195.34435555555558,189.97795555555558,180.95075555555556,174.21964444444447,173.0063111111111,183.78706666666668,188.06828444444446,256.97822222222226,0
B2:O12,10,,,Others,167,167,167,167,167,167,167,167,167,167,167
B2:O12,11,,,Drewry,4649,6498,3716,3338,2654,1999,1699,1473,1486,2795,0
B2:O12,12,,,Sell Side Resina USD,1374.6946444444445,1460.3754,1301.499911111111,1270.3335111111112,1217.906311111111,1178.8140888888888,1171.7674222222222,1234.3787333333335,1259.242728888889,1659.4504444444444,167
B29:N36,29,,MANAUS,,2025-07-01 00:00:00,2025-08-01 00:00:00,2025-09-01 00:00:00,2025-10-01 00:00:00,2025-11-01 00:00:00,2025-12-01 00:00:00,2026-01-01 00:00:00,2026-02-01 00:00:00,2026-03-01 00:00:00,2026-04-01 00:00:00,
B29:N36,30,ALPEK,Manaus,ICIS China mid (M-1),793.125,781.875,774,765,752,748.75,756.25,818.125,838.13,1111.25,
B29:N36,31,,,International freight,226.62222222222223,308.8,185.15555555555557,168.35555555555555,137.95555555555555,108.84444444444445,95.5111111111111,85.46666666666667,86.04444444444445,144.22222222222223,
B29:N36,32,,,Local freight,,,,,,,,,,,
B29:N36,33,,,Duties,212.10742222222225,226.8604,199.50435555555558,194.13795555555558,185.11075555555556,178.37964444444447,177.16631111111113,187.9470666666667,192.22828444444445,261.1382222222222,
B29:N36,34,,,Seguro,167,167,167,167,167,167,167,167,167,167,
B29:N36,35,,,Drewry,4649,6498,3716,3338,2654,1999,1699,1473,1486,2795,
B29:N36,36,,,Sell Side Resina USD,1398.8546444444446,1484.5354,1325.6599111111111,1294.4935111111113,1242.0663111111112,1202.974088888889,1195.9274222222223,1258.5387333333333,1283.402728888889,1683.6104444444445,
