Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,AVISO!,P-TAX,ICIS PET China MID (M-1) USD/ton,,Tax,No,5.547054999999999,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,4649,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,226.6222222222222,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,ICIS China mid (M-1),ICIS PET China MID (M-1) USD/ton,,Resin Index vPET,Yes,793.125,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,Seguro,ICIS PET China MID (M-1) USD/ton,,Seguro,No,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,Duties,ICIS PET China MID (M-1) USD/ton,,Tax,Yes,212.1074222222223,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,MANAUS,Sell Side Resina USD,ICIS PET China MID (M-1) USD/ton,,Total Landing Cost,Yes,1398.854644444445,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,4649,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,206.6222222222222,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,Others,ICIS PET China MID (M-1) USD/ton,,Others,Yes,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,ICIS China mid (M-1),ICIS PET China MID (M-1) USD/ton,,Resin Index vPET,Yes,793.125,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,Duties,ICIS PET China MID (M-1) USD/ton,,Tax,Yes,207.9474222222223,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,July 2025,2025,7,SUAPE,Sell Side Resina USD,ICIS PET China MID (M-1) USD/ton,,Total Landing Cost,Yes,1374.694644444445,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,AVISO!,P-TAX,ICIS PET China MID (M-1) USD/ton,,Tax,No,5.528491304347825,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,6498,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,308.8,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,ICIS China mid (M-1),ICIS PET China MID (M-1) USD/ton,,Resin Index vPET,Yes,781.875,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,Seguro,ICIS PET China MID (M-1) USD/ton,,Seguro,No,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,Duties,ICIS PET China MID (M-1) USD/ton,,Tax,Yes,226.8604,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,MANAUS,Sell Side Resina USD,ICIS PET China MID (M-1) USD/ton,,Total Landing Cost,Yes,1484.5354,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,6498,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,288.8,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,Others,ICIS PET China MID (M-1) USD/ton,,Others,Yes,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,ICIS China mid (M-1),ICIS PET China MID (M-1) USD/ton,,Resin Index vPET,Yes,781.875,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,Duties,ICIS PET China MID (M-1) USD/ton,,Tax,Yes,222.7004,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,August 2025,2025,8,SUAPE,Sell Side Resina USD,ICIS PET China MID (M-1) USD/ton,,Total Landing Cost,Yes,1460.3754,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,AVISO!,P-TAX,ICIS PET China MID (M-1) USD/ton,,Tax,No,5.44692380952381,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,3716,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,185.1555555555556,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,ICIS China mid (M-1),ICIS PET China MID (M-1) USD/ton,,Resin Index vPET,Yes,774,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,Seguro,ICIS PET China MID (M-1) USD/ton,,Seguro,No,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,Duties,ICIS PET China MID (M-1) USD/ton,,Tax,Yes,199.5043555555556,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,MANAUS,Sell Side Resina USD,ICIS PET China MID (M-1) USD/ton,,Total Landing Cost,Yes,1325.659911111111,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,SUAPE,Drewry,ICIS PET China MID (M-1) USD/ton,,Drewery Index,No,3716,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,SUAPE,International freight,ICIS PET China MID (M-1) USD/ton,,Freight,Yes,165.1555555555556,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
Actual,04. Amcor.xlsx,Amcor,Brazil,September 2025,2025,9,SUAPE,Others,ICIS PET China MID (M-1) USD/ton,,Others,Yes,167,Resin: [(Index + Int. Freight) x (1+Tax) + Others + Scrap]
