Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Location,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,04. Engepack.xlsx,Engepack,Brazil,October 2022,2022,10,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4550,Total Landing Cost $ = ((IHS (M-1) + 100 + Adjusted Freight) * (1 + 20%)) + 125 + 8% * Adjusted Freight
Actual,04. Engepack.xlsx,Engepack,Brazil,November 2022,2022,11,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4750,Total Landing Cost $ = ((IHS (M-1) + 100 + Adjusted Freight) * (1 + 20%)) + 125 + 8% * Adjusted Freight
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2022,2022,12,,Freight,IHS (M-1),,Freight,Yes,140.9165432098765,Total Landing Cost $ = ((IHS (M-1) + 100 + Adjusted Freight) * (1 + 20%)) + 125 + 8% * Adjusted Freight
Actual,04. Engepack.xlsx,Engepack,Brazil,December 2022,2022,12,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4850,Total Landing Cost $ = ((IHS (M-1) + 100 + Adjusted Freight) * (1 + 20%)) + 125 + 8% * Adjusted Freight
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,Freight,IHS (M-1),,Freight,Yes,85.0795061728395,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,Fx (M-1),IHS (M-1),,Fx,No,5.2424,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,Maxiquim MME (M-1),IHS (M-1),,Others,Yes,4850,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,IHS (M-1),IHS (M-1),,Resin Index vPET,Yes,890,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,Total Landing Cost,IHS (M-1),,Total Landing Cost,Yes,7482.128420170271,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
Actual,04. Engepack.xlsx,Engepack,Brazil,January 2023,2023,1,,Total Landing Cost $,IHS (M-1),,Total Landing Cost,Yes,1427.233408395062,Total Landing Cost $ = (IHS (M-1) + Adjusted Freight) * (1 + Internalization Cost - Discount) + Other Cost
