source_file,source_sheet,source_range,source_cell,metric_row,month_original,month_english,time_period,time_period_year,time_period_month,layout_type,section_original,section_english,product,metric_label_source_cell,metric_label_original,metric_label_english,column_u_original,column_u_english,value,formula
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U3,3,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T3,Icis Asia SE Low (n-1),ICIS Asia SE Low (n-1),805,,805,805
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U4,4,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T4,Icis Asia 5R MID (n-1),ICIS Asia 5R MID (n-1),892.38,,892.38,892.38
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U5,5,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T5,Resina c/ premissas,Resin with assumptions,817.38,,817.38,"=IF(U3>U4,U4,IF((U4-U3)>75,(U4-75),U3))"
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U6,6,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T6,Desconto,Discount,0.025,,0.025,0.025
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U7,7,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T7,Drewry (t-1) com desconto,Drewry (t-1) with discount,100.83,,100.83,100.83
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U8,8,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T8,Internação,Importation,0.06,,0.06,0.06
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U9,9,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T9,Imposto Internação,Import Tax,0.2,,0.2,0.2
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U10,10,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T10,Sobretaxa,Surcharge,85,,85,=85
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U11,11,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T11,Desconto Indorama,Indorama Discount,-25,,-25,=-25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,U12,12,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VRJ1,T12,Total V-PET USD/ton ,Total V-PET USD/ton,1191.19713,,1191.19713,=(((U5*(1-U6))+U7)*(1+(U8+U9)))+U10+U11
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V3,3,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T3,Icis Asia SE Low (n-1),ICIS Asia SE Low (n-1),805,,805,=U3
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V4,4,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T4,Icis Asia 5R MID (n-1),ICIS Asia 5R MID (n-1),892.38,,892.38,=U4
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V5,5,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T5,Resina c/ premissas,Resin with assumptions,817.38,,817.38,"=IF((V4-V3)>75,(V4-75),V3)"
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V6,6,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T6,Desconto,Discount,0.025,,0.04,0.04
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V7,7,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T7,Drewry (t-1) com desconto,Drewry (t-1) with discount,100.83,,100.83,=U7
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V8,8,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T8,Internação,Importation,0.06,,0.06,0.06
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V9,9,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T9,Imposto Internação,Import Tax,0.2,,0.2,0.2
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\04. Valgroup.xlsx,JAN.26,U2:V12,V10,10,JAN,January,January 2026,2026,1,products_in_u_v_labels_in_t,RESINA VIRGEM,Virgin Resin,VPE1,T10,Sobretaxa,Surcharge,85,,85,=85
