source_file,source_sheet,source_range,source_cell,metric_row,metric_label_source_row,metric_en,metric_component,metric_detail,price_period,index_period,time_period,time_period_year,time_period_month,value,formula
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,O4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Julio ,Mayo ,July 2023,2023,7,1152.5,1152.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,P4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Agosto,Junio,August 2023,2023,8,1125,1125
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,Q4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Septiembre,Julio,September 2023,2023,9,1118.75,1118.75
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,R4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Octubre,Agosto,October 2023,2023,10,1095,1095
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,S4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Noviembre,Septiembre,November 2023,2023,11,1075.625,1075.625
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,T4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Diciembre,Octubre,December 2023,2023,12,1056.25,1056.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,U4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Enero,Noviembre,January 2024,2024,1,1057.5,1057.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,V4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Febrero ,Diciembre,February 2024,2024,2,1076.25,1076.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,W4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Marzo,Enero,March 2024,2024,3,1076.25,1076.25
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,X4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Abril,Febrero,April 2024,2024,4,1082.5,1082.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,Y4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Junio,Abril,June 2024,2024,6,1082.5,1082.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,Z4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Julio,Mayo,July 2024,2024,7,1082.5,1082.5
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,AA4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Agosto,Juni,August 2024,2024,8,1073,1073
C:\Users\40100123\OneDrive - Anheuser-Busch InBev\GAC\PET\Data Model\PET_Data_Model\data\3 Precios AB Inbev_Abril 26 ECUADOR.xlsx,Formula Virgen,A2:AT18,AB4,4,4,ICIS China Mid (n-2),Indicador,ICIS CHINA Mid  (n-2),Septiembre,Julio,September 2024,2024,9,1076.875,1076.875
