Data Type,Source File ,Supplier Name,Destination Country,Time_Period ,Time Period Year,Time Period Month,Raw Cost Breakdown,Resin Index Type,Forecast Resin Index Type,Mapping Columns,Column Required for Calculation,Value ,TLC Formula
Actual,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,April 2026,2026,4,FOB Price,ICIS Asia SE Low (M-2),,Resin Index vPET,Yes,852.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Actual,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,April 2026,2026,4,Ocean Freight,ICIS Asia SE Low (M-2),,Freight,Yes,161,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Actual,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,April 2026,2026,4,CIF Price,ICIS Asia SE Low (M-2),,Sub Total (CIF),Yes,1013.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Actual,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,April 2026,2026,4,Import Clearance,ICIS Asia SE Low (M-2),,Tax,Yes,35,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Actual,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,April 2026,2026,4,vPET Value,ICIS Asia SE Low (M-2),,Total Landing Cost,Yes,1048.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,May 2026,2026,5,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1115.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,May 2026,2026,5,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,May 2026,2026,5,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1276.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,May 2026,2026,5,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,May 2026,2026,5,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1311.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,June 2026,2026,6,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1287.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,June 2026,2026,6,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,June 2026,2026,6,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1448.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,June 2026,2026,6,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,June 2026,2026,6,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1483.5,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,July 2026,2026,7,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1344.9873631002527,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,July 2026,2026,7,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,July 2026,2026,7,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1505.9873631002527,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,July 2026,2026,7,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,July 2026,2026,7,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1540.9873631002527,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,August 2026,2026,8,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1438.2882882882882,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,August 2026,2026,8,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,August 2026,2026,8,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1599.2882882882882,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,August 2026,2026,8,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,August 2026,2026,8,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1634.2882882882882,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,September 2026,2026,9,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1527.7511961722487,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,September 2026,2026,9,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,September 2026,2026,9,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1688.7511961722487,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,September 2026,2026,9,Import Clearance,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Tax,Yes,35.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,September 2026,2026,9,vPET Value,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Total Landing Cost,Yes,1723.7511961722487,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,FOB Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Resin Index vPET,Yes,1644.181256436663,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,Ocean Freight,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Freight,Yes,161.0,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
Forecast,Pricing_Pref-Bot_ABI_PER_Men_4_26_Cliente.xlsx,San Miguel Industrias (SMI),Peru,October 2026,2026,10,CIF Price,ICIS Asia SE Low (M-2),ICIS Asia SE Low,Sub Total (CIF),Yes,1805.181256436663,PET Resin USD/Ton = (ICIS+OF)*(1+IT)+CC
